latitude,longitude,lat_bin,lon_bin,cell_id
15.8416414100081,-91.99234812912711,52,44,52044
8.17505593661165,8.59491922269995,49,94,49094
-29.9152242982632,-56.66136478307391,30,61,30061
62.154048460953504,75.1927050106251,76,127,76127
-28.2448595159669,148.757489829105,30,164,30164
-19.8707741459085,136.28750213805,35,158,35158
-20.8415216959816,-53.1977256094826,34,63,34063
-12.4932964572703,-51.7695793135342,38,64,38064
26.9657859934273,-106.672778500148,58,36,58036
51.2424679329326,42.67285777263,70,111,70111
41.3942239550925,25.4019773134132,65,102,65102
10.4733872017891,-74.7513186945572,50,52,50052
-54.3385523293101,-66.7094654971214,17,56,17056
-34.1774025244264,-66.9624353811419,27,56,27056
56.6940439811231,21.262613607235,73,100,73100
43.31875720933711,143.382691132918,66,161,66161
-31.4464099621494,-64.1276093280732,29,57,29057
21.0433629854665,-101.34270604398,55,39,55039
-21.4818323811578,146.748874966657,34,163,34163
-29.3206186116134,-63.8193491308052,30,58,30058
-7.56397817898479,-49.7009828748532,41,65,41065
42.8826004028982,140.778304597109,66,160,66160
-10.566188659051,-63.6290075125366,39,58,39058
7.37945702820888,7.62273438603303,48,93,48093
37.7930195423157,14.2983698762969,63,97,63097
-23.8535307293042,-63.2851710163762,33,58,33058
48.5596522364336,102.118454835113,69,141,69141
-28.0370744108901,28.2144716278203,30,104,30104
-3.1201026,-60.0265780999999,43,59,43059
15.4945798165338,103.571705234773,52,141,52141
45.8086104151324,11.6769643839201,67,95,67095
42.9134521115202,132.807035842281,66,156,66156
-5.31896420221857,-41.5809775747288,42,69,42069
40.685506420510706,21.8178216668511,65,100,65100
47.9264433027244,22.065376968941,68,101,68101
-17.225789141251,-62.5554415218396,36,58,36058
19.74466973783,-89.1597303496563,54,45,54045
56.726698928405,9.57734403339424,73,94,73094
-19.1156507465588,-47.694678502044,35,66,35066
67.0075078259646,56.9208672814374,78,118,78118
-22.1374688456159,-56.6454497405609,33,61,33061
-28.7120574339857,25.7985671242688,30,102,30102
19.050841844223,83.63782907010899,54,131,54131
54.0367922955254,122.347746603028,72,151,72151
-27.0486255366375,-50.6409391422682,31,64,31064
-31.228298712549,138.405098451809,29,159,29159
-38.2195594583576,-64.0705296812621,25,57,25057
41.6599056053535,75.0137983312584,65,127,65127
-35.1672499506399,-66.5706197433902,27,56,27056
49.7755129386018,17.1881712820872,69,98,69098
57.3088386322924,-5.4146689084515,73,87,73087
-19.8521258165127,142.840926045232,35,161,35161
-20.1073713706845,-53.812235189964305,34,63,34063
-18.5036545168547,133.8747551314,35,156,35156
56.9638866671983,35.0165466499837,73,107,73107
51.169694070797,17.0738744944372,70,98,70098
6.26341313017387,81.06950479568249,48,130,48130
-32.3785085622998,148.966170844099,28,164,28164
-30.9637447228887,19.3784171583333,29,99,29099
-23.6994137386005,139.641830187147,33,159,33159
37.5091891555719,38.221142261074,63,109,63109
-36.8253141106263,-60.3669908838817,26,59,26059
-5.90699176948137,-44.0711356546674,42,67,42067
13.0806604087159,5.26656240265774,51,92,51092
40.7842682940295,22.4712131736707,65,101,65101
54.3206457541808,44.381274921982,72,112,72112
-7.00058402801791,112.128723687644,41,146,41146
-15.9197970821955,-51.4076736250174,37,64,37064
40.6443459923259,34.9033824617917,65,107,65107
-31.8545931808756,-56.505272935438896,29,61,29061
50.776777245211,99.52815454458289,70,139,70139
-15.2660114447711,-40.599237395810306,37,69,37069
43.363028824257,132.245852541125,66,156,66156
-29.4303331283653,-56.6883167508348,30,61,30061
-28.5217869203564,117.805840786722,30,148,30148
46.5881474397945,106.545065727212,68,143,68143
-17.4177395091285,-47.2839155563833,36,66,36066
-7.81199074922147,-63.186043249119,41,58,41058
48.2455079952533,17.9227206200333,69,98,69098
-2.75848114509589,-43.3291097060094,43,68,43068
62.476767861602,149.732044790396,76,164,76164
-30.8805607965974,20.4397492162735,29,100,29100
-4.17203237005955,-46.1326417957785,42,66,42066
55.0990955810345,68.18815220282009,72,124,72124
-30.4510825707538,145.346859201343,29,162,29162
-14.5421677428278,-56.232516647976496,37,61,37061
23.3231141267503,77.2687758692723,56,128,56128
-33.2751873280133,-64.8474108675664,28,57,28057
-12.8141042380581,-49.8963203281633,38,65,38065
-23.6147829358214,147.619922048207,33,163,33163
-30.924657249007,-69.4242358286152,29,55,29055
-30.8534595600865,21.8521306610621,29,100,29100
-23.702687808294,-46.2404377866399,33,66,33066
0.781174855157626,36.0164237824529,45,108,45108
20.9351397915436,-104.57181879132,55,37,55037
-18.0768282985134,-51.0376671288714,35,64,35064
20.1776537818596,-102.243954581074,55,38,55038
24.6801488556372,-103.254184391484,57,38,57038
-22.9091247019855,22.1139264586645,33,101,33101
38.443412790317105,27.3190400201834,64,103,64103
9.22708279934996,5.63544892287678,49,92,49092
-2.11385098830007,37.327332914665696,43,108,43108
-27.7988373915819,-50.862633011130896,31,64,31064
-12.2483363876815,-56.4194113822506,38,61,38061
16.4981020376474,-14.5494639286825,53,82,53082
-8.14206981249202,-70.2887511783521,40,54,40054
46.0347255169546,17.6836697091162,68,98,68098
-30.3155991139452,135.293234463883,29,157,29157
28.392567833846,-106.99160328169,59,36,59036
-6.10598652053429,-41.7847103844716,41,69,41069
-17.8110555,-63.1785372,36,58,36058
-5.30017612186232,-41.161640967079904,42,69,42069
12.6333529975462,8.42431636807849,51,94,51094
-22.0933450373003,133.424750227496,33,156,33156
62.393325982478494,30.7404034611632,76,105,76105
50.9245867908001,23.9969707972055,70,101,70101
-31.9078369166588,-56.7095222915558,29,61,29061
47.392324633894304,17.018784400996,68,98,68098
23.0277966851363,77.50686386388351,56,128,56128
-15.6251515792878,-58.7942321511622,37,60,37060
-21.9872906380607,142.698801185593,34,161,34161
18.5191551788677,98.77238509496141,54,139,54139
14.4295538484791,-3.32488562275751,52,88,52088
-26.4650319400596,119.39533506541,31,149,31149
-7.5671488344474,-72.9918800447239,41,53,41053
-40.128843327214305,-66.0254620868904,24,56,24056
-17.7437504851285,123.583631165266,36,151,36151
-51.9074925669116,-71.4044705900396,19,54,19054
62.5898350316938,26.3331125053412,76,103,76103
-5.26318628363338,-36.6620474573432,42,71,42071
18.0360496588754,-89.06760664548179,54,45,54045
-7.21601738539479,-39.120445479120704,41,70,41070
-16.3119538031995,-46.51299497787,36,66,36066
-33.9986471161203,-60.2180120823422,28,59,28059
39.1254766142716,42.1876647416204,64,111,64111
46.85142858822471,112.331224419752,68,146,68146
0.277860404264795,34.6987935944516,45,107,45107
-33.7425956394222,-54.851086398818495,28,62,28062
59.6611959066444,18.342351094472,74,99,74099
-28.2275040920529,121.085127174329,30,150,30150
31.3157443708806,-108.756005199587,60,35,60035
-15.9975932598056,142.498117652423,37,161,37161
27.8113692130161,-104.794885848818,58,37,58037
-15.9508580799433,128.42082710762,37,154,37154
-18.8874197665098,-50.1609359747496,35,64,35064
-41.7186650196435,-66.3122035656785,24,56,24056
49.455653263991294,99.9824829473935,69,139,69139
-7.68681515693651,-72.9770707110353,41,53,41053
48.382666511027296,30.3542437535634,69,105,69105
50.3666477830406,34.3484462749905,70,107,70107
-31.8677837663223,-57.1684963001503,29,61,29061
-41.8704399639618,-66.940892874915,24,56,24056
17.3997947289655,76.1634176918006,53,128,53128
-39.979278634393104,-64.8416096180628,25,57,25057
14.6938284146114,-15.649874830901,52,82,52082
28.2171181379994,-104.579252654536,59,37,59037
-40.1302101380084,-64.3844495568168,24,57,24057
10.3134576041689,10.559138013543,50,95,50095
-28.4452822543609,152.233970836526,30,166,30166
-36.09441483257591,142.88727672634,26,161,26161
-26.7312303595728,20.6328546860032,31,100,31100
64.20621107912089,41.576110338343,77,110,77110
-13.557025524872,-45.1316684092849,38,67,38067
47.10350540310289,47.7864342401758,68,113,68113
-21.8210469894419,28.8230999548425,34,104,34104
-22.2536881130722,-63.366721287111105,33,58,33058
-4.74736409645739,-49.0662723786696,42,65,42065
6.92792826808354,-2.36482939673848,48,88,48088
9.01130899951135,-2.47684418654188,49,88,49088
16.8339724942794,-92.8809366684424,53,43,53043
44.845643215710496,23.8096893993092,67,101,67101
-29.8586278634652,135.12301745888,30,157,30157
-10.8315598120118,-65.242965094394,39,57,39057
-54.8563009999999,-68.5848333,17,55,17055
41.089558949826895,14.384620644449,65,97,65097
45.3626386342321,16.4305632543349,67,98,67098
-5.56731302230577,-42.602784397098894,42,68,42068
40.7699763575244,-2.99979439184615,65,88,65088
-36.93115,149.1325778,26,164,26164
-31.6863879119226,-66.0164932319704,29,56,29056
10.708720282663,-2.36500386269848,50,88,50088
7.2218200382669,7.501016081815,48,93,48093
68.692999966373,30.2336743247767,79,105,79105
46.54827447784871,16.7246342342926,68,98,68098
4.22864591560275,-60.995410681806,47,59,47059
42.0300536121724,25.5248581836827,66,102,66102
0.852370915349698,-59.6155781108688,45,60,45060
-38.1354190738083,146.052662452395,25,163,25163
-12.7399236179504,131.464882010308,38,155,38155
-8.69862893278543,118.646995743189,40,149,40149
-30.6756750036877,-69.4536404776845,29,55,29055
-1.55073440451639,-45.056968288129106,44,67,44067
0.89757796039709,35.3146157141236,45,107,45107
46.448368221754095,94.12885813714301,68,137,68137
6.93891568228498,100.68419529276,48,140,48140
-28.1052270165956,-59.998815238217105,30,60,30060
51.5203594640385,15.5010229671643,70,97,70097
-17.332620529861,-62.8969795660562,36,58,36058
-12.5632309444874,-58.01686027263231,38,60,38060
39.839814427815504,29.2219486227675,64,104,64104
30.305340167507,-110.668439670327,60,34,60034
-19.6884036091144,-49.1763643227933,35,65,35065
-21.1976773707302,24.798286899798,34,102,34102
-29.5097260724574,-68.4334507123654,30,55,30055
63.5988746399179,146.40590834905,76,163,76163
56.64471356118231,10.060716684904,73,95,73095
21.8358120473077,76.48355661691059,55,128,55128
49.787405629591696,95.0339930342724,69,137,69137
-43.978022323094706,-70.371030658599,23,54,23054
53.7413861803047,125.09662842573,71,152,71152
51.4424981834508,142.748070494074,70,161,70161
-40.570290221271,-66.4806639784992,24,56,24056
-37.7409947348996,141.31731593918,26,160,26160
-27.318284710938,133.624617332724,31,156,31156
66.5753963990535,-53.498673518902095,78,63,78063
49.1163097052994,14.6230001735116,69,97,69097
-22.5942062283965,136.729025560658,33,158,33158
-37.56951435595649,-69.072834390274,26,55,26055
18.2583009618788,80.2951077090849,54,130,54130
-33.5248770482767,141.717115350755,28,160,28160
43.7182051824443,23.9457054054108,66,101,66101
12.5834902793756,8.47108293754859,51,94,51094
-49.7358641769066,-72.33805737308529,20,53,20053
-23.8540919476913,21.1295788967311,33,100,33100
-23.271416872374,-55.1807689364886,33,62,33062
54.0717503573228,22.4846460266042,72,101,72101
36.9096062807587,34.8873171950585,63,107,63107
9.12194267149711,-1.27466573046647,49,89,49089
15.973711293126,75.7041467825976,52,127,52127
-32.3489667829143,124.846111401532,28,152,28152
6.88411453765989,3.10474448109003,48,91,48091
-33.2979840434264,-57.2085428009212,28,61,28061
51.1658583602492,58.6266211876182,70,119,70119
-15.1398006623309,-53.53034953851849,37,63,37063
50.044152948721,29.870922053497,70,104,70104
42.9787724596888,26.8669814582626,66,103,66103
2.28798475037796,-59.838278638237696,46,60,46060
46.0494168134936,20.1073127463137,68,100,68100
60.80665559863991,64.8121073812697,75,122,75122
1.41031696238256,-78.5841697822853,45,50,45050
-29.2474895224022,-65.4226946786073,30,57,30057
-25.6162506347746,150.229967092614,32,165,32165
-21.0222627339842,116.31688468975,34,148,34148
-21.8149781596131,43.2951183371743,34,111,34111
-26.8303765178113,118.370234818,31,149,31149
-27.2486539714206,-52.595686539942,31,63,31063
-21.711593938282,-44.450734820661296,34,67,34067
-26.4691017202528,119.452818262934,31,149,31149
-33.2672909364041,-54.4296478261678,28,62,28062
-37.121889782374,-62.0532277102576,26,58,26058
53.4243969822777,20.3349003689046,71,100,71100
-33.0782391407925,-69.2761186771508,28,55,28055
63.9971228231527,145.402125703365,76,162,76162
-33.0695324744925,-57.2393596112564,28,61,28061
8.25335972592341,80.6419057444586,49,130,49130
54.9038966288591,24.3911671368692,72,102,72102
-5.02260149561513,-44.99326397811,42,67,42067
-20.6339352681501,22.3227140835257,34,101,34101
22.5926316212648,120.68006709833,56,150,56150
61.6506731996524,74.367736341048,75,127,75127
-34.5190866,142.8731176,27,161,27161
67.4838598586532,27.894023108529,78,103,78103
51.5383340491743,18.9136232486661,70,99,70099
45.0673486506336,9.7776589234432,67,94,67094
12.2485244773983,79.2115344078785,51,129,51129
-13.7836568741599,-57.0362932515462,38,61,38061
-30.4256180974296,29.1412361413378,29,104,29104
-3.17671390903264,39.68468182193671,43,109,43109
-17.3518043564275,-54.758112287249,36,62,36062
46.8451605319301,112.375181067031,68,146,68146
-1.66497809567663,114.599416932231,44,147,44147
38.85389539547,39.8227879954878,64,109,64109
48.7056155656928,15.6045637402239,69,97,69097
-10.6061850784915,-58.5999784168007,39,60,39060
26.879522413998,-99.830449009255,58,40,58040
39.858578308018494,22.1736749172424,64,101,64101
12.6854685007665,121.34165121857,51,150,51150
10.1913693121186,11.1146519988235,50,95,50095
66.5511797464372,26.1773187368469,78,103,78103
10.0205611251527,8.93619131909458,50,94,50094
-34.918629742213,148.161711580262,27,164,27164
22.7926105744106,74.4736323709769,56,127,56127
-16.3846292829128,143.073458990968,36,161,36161
-15.0897679605612,-47.3141012201794,37,66,37066
61.7490283851331,54.9159095930247,75,117,75117
43.6413678457371,43.84933169081209,66,111,66111
2.28547680498226,-59.839121079398495,46,60,46060
-12.7399236179504,131.464882010308,38,155,38155
-28.037161864088,31.5803339920391,30,105,30105
-28.2872082878068,-62.0828192027521,30,58,30058
-16.6137104166834,135.867638572472,36,157,36157
